,Buurten,Year,Age,Gender,value
564,Station,2015-01-01,< 30 jaar,Man,537.0
565,City,2015-01-01,< 30 jaar,Man,658.0
566,Belcrum,2015-01-01,< 30 jaar,Man,680.0
567,Doornbos-Linie,2015-01-01,< 30 jaar,Man,966.0
568,Biesdonk,2015-01-01,< 30 jaar,Man,912.0
569,Geeren-zuid,2015-01-01,< 30 jaar,Man,752.0
570,Wisselaar,2015-01-01,< 30 jaar,Man,789.0
571,Krogten,2015-01-01,< 30 jaar,Man,35.0
572,Geeren-noord,2015-01-01,< 30 jaar,Man,539.0
573,Waterdonken,2015-01-01,< 30 jaar,Man,212.0
574,Brabantpark,2015-01-01,< 30 jaar,Man,1959.0
575,Sportpark,2015-01-01,< 30 jaar,Man,607.0
576,Zandberg,2015-01-01,< 30 jaar,Man,1086.0
577,Heusdenhout,2015-01-01,< 30 jaar,Man,778.0
578,Moleneind-oost,2015-01-01,< 30 jaar,Man,9.0
579,Hoogeind,2015-01-01,< 30 jaar,Man,7.0
580,Blauwe Kei,2015-01-01,< 30 jaar,Man,684.0
581,Ypelaar,2015-01-01,< 30 jaar,Man,867.0
582,Overakker,2015-01-01,< 30 jaar,Man,427.0
583,Ginneken,2015-01-01,< 30 jaar,Man,945.0
584,Mastbos,2015-01-01,< 30 jaar,Man,112.0
585,Boeimeer,2015-01-01,< 30 jaar,Man,964.0
586,Ruitersbos,2015-01-01,< 30 jaar,Man,313.0
587,Haagpoort,2015-01-01,< 30 jaar,Man,458.0
588,Heuvel,2015-01-01,< 30 jaar,Man,1724.0
589,Tuinzigt,2015-01-01,< 30 jaar,Man,1522.0
590,Princenhage,2015-01-01,< 30 jaar,Man,1390.0
591,Westerpark,2015-01-01,< 30 jaar,Man,656.0
592,Heilaar,2015-01-01,< 30 jaar,Man,46.0
593,Hazeldonk,2015-01-01,< 30 jaar,Man,5.0
594,Steenakker,2015-01-01,< 30 jaar,Man,45.0
595,Effen-Rith,2015-01-01,< 30 jaar,Man,136.0
596,Liesbos,2015-01-01,< 30 jaar,Man,81.0
597,Gageldonk,2015-01-01,< 30 jaar,Man,938.0
598,Kievitsloop,2015-01-01,< 30 jaar,Man,868.0
599,Kesteren,2015-01-01,< 30 jaar,Man,755.0
600,Muizenberg,2015-01-01,< 30 jaar,Man,621.0
601,Heksenwiel,2015-01-01,< 30 jaar,Man,871.0
602,Overkroeten,2015-01-01,< 30 jaar,Man,644.0
603,Kroeten,2015-01-01,< 30 jaar,Man,452.0
604,Emer,2015-01-01,< 30 jaar,Man,10.0
605,Hagebeemd,2015-01-01,< 30 jaar,Man,30.0
606,Bavel,2015-01-01,< 30 jaar,Man,882.0
607,Nieuw Wolfslaar,2015-01-01,< 30 jaar,Man,442.0
608,Buitengebied Bavel,2015-01-01,< 30 jaar,Man,115.0
609,Ulvenhout,2015-01-01,< 30 jaar,Man,708.0
